id_cliente,nombre,apellido,email,telefono,fecha_nac,sexo,provincia,ciudad
30,María,González,maria.gonzalez8855@gmail.com,1172357129,1953-05-22,Femenino,Buenos Aires,Bahía Blanca
31,Bautista,Rodríguez,bautista.rodriguez1775@gmail.com,1183312974,1973-03-23,Masculino,Río Negro,Bariloche
32,Victoria,Torres,victoria.torres8130@gmail.com,1149660195,1961-10-25,Femenino,Buenos Aires,Lanús
33,Camila,Alonso,camila.alonso7415@gmail.com,1124712807,1990-12-26,Femenino,Entre Ríos,Concordia
34,Mateo,Rodríguez,mateo.rodriguez2383@gmail.com,1161709266,1971-12-31,Masculino,Buenos Aires,Mar del Plata
35,Laura,Torres,laura.torres9495@gmail.com,1151413332,1977-01-19,Femenino,CABA,Belgrano
36,Joaquín,Fernández,joaquin.fernandez4692@gmail.com,1172590183,1982-06-08,Masculino,Entre Ríos,Concordia
37,Laura,Sánchez,laura.sanchez5194@gmail.com,1138889139,1999-07-16,Femenino,Formosa,Formosa Capital
38,Sofía,Rodríguez,sofia.rodriguez8331@gmail.com,1149197583,1956-03-31,Femenino,San Juan,San Juan Capital
39,Nicolás,Sánchez,nicolas.sanchez526@gmail.com,1156069285,1985-11-16,Masculino,Santa Fe,Santa Fe Capital
40,Julieta,González,julieta.gonzalez8616@gmail.com,1129805184,1962-10-21,Femenino,San Juan,San Juan Capital
41,Diego,Alonso,diego.alonso2776@gmail.com,1162415432,1973-09-13,Masculino,Entre Ríos,Concordia
42,Carlos,Martínez,carlos.martinez1622@gmail.com,1168876631,2007-05-28,Masculino,Entre Ríos,Concordia
43,Micaela,Pérez,micaela.perez8160@gmail.com,1178716445,1998-05-13,Femenino,Buenos Aires,Quilmes
44,Julieta,Torres,julieta.torres8379@gmail.com,1180767049,1985-12-28,Femenino,Santa Fe,Rosario
45,Mateo,Álvarez,mateo.alvarez3722@gmail.com,1132258513,1990-03-28,Masculino,Chaco,Pres. Roque Sáenz Peña
46,Federico,Martínez,federico.martinez703@gmail.com,1171929452,1962-05-02,Masculino,Catamarca,Catamarca Capital
47,Leandro,Martínez,leandro.martinez2638@gmail.com,1112469949,1982-07-24,Masculino,CABA,Belgrano
48,Federico,Torres,federico.torres4679@gmail.com,1127150275,1962-05-19,Masculino,Córdoba,Carlos Paz
49,Victoria,Gutiérrez,victoria.gutierrez5933@gmail.com,1160868011,1946-09-13,Femenino,Córdoba,Carlos Paz
50,Federico,González,federico.gonzalez3683@gmail.com,1148926217,1989-03-25,Masculino,Santiago del Estero,Sgo. del Estero Capital
51,Juan,Martínez,juan.martinez839@gmail.com,1131945675,1989-07-23,Masculino,Entre Ríos,Concordia
52,Bautista,González,bautista.gonzalez4511@gmail.com,1151839354,1976-06-26,Masculino,Buenos Aires,Quilmes
53,Leandro,Fernández,leandro.fernandez4105@gmail.com,1185404906,1963-12-24,Masculino,Entre Ríos,Concordia
54,Martina,Martínez,martina.martinez6968@gmail.com,1162201480,1950-02-24,Femenino,Santiago del Estero,Sgo. del Estero Capital
55,Camila,Sánchez,camila.sanchez6316@gmail.com,1182607096,1983-03-15,Femenino,Santa Fe,Rafaela
56,Lucía,Gutiérrez,lucia.gutierrez9422@gmail.com,1196700631,1947-10-14,Femenino,Río Negro,Bariloche
57,Martina,Sosa,martina.sosa7531@gmail.com,1177272015,2006-04-22,Femenino,Neuquén,Neuquén Capital
58,Luis,García,luis.garcia4463@gmail.com,1186490303,1955-08-27,Masculino,Santa Fe,Santa Fe Capital
59,Felipe,González,felipe.gonzalez4423@gmail.com,1174474711,1995-03-10,Masculino,Buenos Aires,La Plata
60,Matías,Martínez,matias.martinez1027@gmail.com,1136806257,1953-01-21,Masculino,Neuquén,Neuquén Capital
61,José,Fernández,jose.fernandez4004@gmail.com,1137559381,2006-04-13,Masculino,Salta,Orán
62,Agustina,González,agustina.gonzalez8819@gmail.com,1146038904,1979-12-05,Femenino,Neuquén,Neuquén Capital
63,Nicolás,Gómez,nicolas.gomez2021@gmail.com,1132693082,1993-04-30,Masculino,Buenos Aires,Quilmes
64,Lucía,Rodríguez,lucia.rodriguez7995@gmail.com,1170453253,1950-01-01,Femenino,Jujuy,San Salvador de Jujuy
65,Lucas,González,lucas.gonzalez594@gmail.com,1137368126,1949-01-28,Masculino,Catamarca,Catamarca Capital
66,Lucas,López,lucas.lopez2398@gmail.com,1195838686,1973-03-16,Masculino,Córdoba,Villa María
67,Joaquín,López,joaquin.lopez2002@gmail.com,1124091252,1992-11-13,Masculino,San Juan,San Juan Capital
68,Nicolás,Sánchez,nicolas.sanchez3346@gmail.com,1151480497,1991-06-14,Masculino,Salta,Orán
69,María,Fernández,maria.fernandez9570@gmail.com,1152624008,1980-12-03,Femenino,Entre Ríos,Concordia
70,Carlos,Fernández,carlos.fernandez4288@gmail.com,1199255792,2000-01-25,Masculino,Neuquén,Neuquén Capital
71,Leandro,García,leandro.garcia4742@gmail.com,1111951348,1997-08-24,Masculino,Santa Fe,Rafaela
72,María,Rodríguez,maria.rodriguez7595@gmail.com,1123701122,1943-06-09,Femenino,Córdoba,Río Cuarto
73,Victoria,González,victoria.gonzalez8910@gmail.com,1177692129,1962-01-03,Femenino,CABA,Belgrano
74,Valentina,Alonso,valentina.alonso9890@gmail.com,1158937591,1991-07-01,Femenino,Mendoza,Godoy Cruz
75,Lucas,Álvarez,lucas.alvarez153@gmail.com,1113065929,1980-04-25,Masculino,Salta,Salta Capital
76,Valentina,Gutiérrez,valentina.gutierrez7336@gmail.com,1182140659,1970-10-13,Femenino,Santa Fe,Santa Fe Capital
77,Nicolás,Pérez,nicolas.perez717@gmail.com,1141545340,1975-01-05,Masculino,Entre Ríos,Concordia
78,Juan,Alonso,juan.alonso4167@gmail.com,1132935716,1953-03-20,Masculino,Mendoza,Godoy Cruz
79,Laura,Sánchez,laura.sanchez6778@gmail.com,1123511341,1998-12-21,Femenino,Misiones,Eldorado
80,Ana,Sosa,ana.sosa7564@gmail.com,1176716360,1969-09-07,Femenino,San Juan,San Juan Capital
81,Nicolás,González,nicolas.gonzalez3866@gmail.com,1121850966,1949-08-14,Masculino,Buenos Aires,Lanús
82,Bautista,Martínez,bautista.martinez1081@gmail.com,1148838281,1987-04-02,Masculino,Santa Cruz,Río Gallegos
83,Martina,Sosa,martina.sosa5588@gmail.com,1147161236,2007-07-23,Femenino,Buenos Aires,La Plata
84,Julieta,Gómez,julieta.gomez8936@gmail.com,1184718441,1992-11-15,Femenino,Mendoza,San Rafael
85,Federico,González,federico.gonzalez1716@gmail.com,1135078001,1964-12-23,Masculino,Misiones,Eldorado
86,Laura,Romero,laura.romero7206@gmail.com,1164826955,1998-03-27,Femenino,Santa Cruz,Río Gallegos
87,Lucas,Rodríguez,lucas.rodriguez1303@gmail.com,1154013221,2003-11-29,Masculino,Santa Fe,Venado Tuerto
88,Federico,Álvarez,federico.alvarez2010@gmail.com,1172229646,1972-04-22,Masculino,Santa Fe,Rafaela
89,Micaela,García,micaela.garcia5693@gmail.com,1128060409,1975-03-30,Femenino,Jujuy,San Salvador de Jujuy
90,Micaela,Martínez,micaela.martinez5474@gmail.com,1178307329,1990-05-06,Femenino,Buenos Aires,San Isidro
91,Mateo,López,mateo.lopez619@gmail.com,1152885009,1998-12-31,Masculino,Santa Fe,Rafaela
92,Sofía,Gutiérrez,sofia.gutierrez8951@gmail.com,1145622752,2002-12-21,Femenino,San Juan,San Juan Capital
93,Nicolás,Martínez,nicolas.martinez3867@gmail.com,1156224708,1967-01-17,Masculino,Mendoza,San Rafael
94,Mateo,Alonso,mateo.alonso413@gmail.com,1195612299,1962-12-04,Masculino,Formosa,Formosa Capital
95,Joaquín,López,joaquin.lopez4636@gmail.com,1141492635,1946-12-10,Masculino,Córdoba,Villa María
96,Felipe,Álvarez,felipe.alvarez2679@gmail.com,1186311013,1981-10-20,Masculino,Córdoba,Villa María
97,Martina,Gutiérrez,martina.gutierrez9605@gmail.com,1179961393,1942-12-09,Femenino,Catamarca,Catamarca Capital
98,Ana,Pérez,ana.perez6634@gmail.com,1118110529,1968-10-12,Femenino,Buenos Aires,La Plata
99,Leandro,Álvarez,leandro.alvarez4274@gmail.com,1178451888,2002-05-16,Masculino,Entre Ríos,Paraná
100,Elena,Torres,elena.torres9693@gmail.com,1153569050,1995-12-24,Femenino,Neuquén,Neuquén Capital
101,Lucas,Sánchez,lucas.sanchez2853@gmail.com,1160353787,1965-04-27,Masculino,Córdoba,Villa María
102,Victoria,Alonso,victoria.alonso5614@gmail.com,1140420722,1999-04-14,Femenino,Buenos Aires,La Plata
103,Federico,Romero,federico.romero2683@gmail.com,1192712741,2001-07-27,Masculino,Santa Fe,Rosario
104,Lucía,González,lucia.gonzalez9452@gmail.com,1196638609,1982-01-11,Femenino,Buenos Aires,Berazategui
105,Julieta,Romero,julieta.romero7653@gmail.com,1144418545,1988-04-12,Femenino,Entre Ríos,Paraná
106,Elena,López,elena.lopez8762@gmail.com,1119089370,1996-12-14,Femenino,Chaco,Pres. Roque Sáenz Peña
107,Mateo,Gómez,mateo.gomez2080@gmail.com,1139438584,1944-02-07,Masculino,Buenos Aires,San Isidro
108,Luis,Romero,luis.romero4391@gmail.com,1159447579,1971-06-10,Masculino,Salta,Salta Capital
109,Camila,López,camila.lopez8257@gmail.com,1167490466,1966-09-30,Femenino,Santa Fe,Rafaela
110,Bautista,Gutiérrez,bautista.gutierrez3030@gmail.com,1155609935,1981-05-17,Masculino,Buenos Aires,La Plata
111,Florencia,Fernández,florencia.fernandez8470@gmail.com,1119860719,1948-06-12,Femenino,CABA,Recoleta
112,Lucía,Pérez,lucia.perez9168@gmail.com,1120819243,1957-12-20,Femenino,Salta,Salta Capital
113,Laura,González,laura.gonzalez5669@gmail.com,1116146036,1971-12-10,Femenino,Entre Ríos,Paraná
114,Diego,Sánchez,diego.sanchez1902@gmail.com,1130853763,2004-11-06,Masculino,Buenos Aires,La Plata
115,Julieta,Pérez,julieta.perez7143@gmail.com,1174228866,1961-03-30,Femenino,Santa Fe,Venado Tuerto
116,Luis,Pérez,luis.perez2146@gmail.com,1162476868,1994-11-28,Masculino,Buenos Aires,Bahía Blanca
117,Julieta,Rodríguez,julieta.rodriguez9583@gmail.com,1189644876,1954-02-04,Femenino,Neuquén,Neuquén Capital
118,Camila,Sosa,camila.sosa6352@gmail.com,1177405724,1961-05-29,Femenino,Buenos Aires,Bahía Blanca
119,Elena,Gómez,elena.gomez5900@gmail.com,1182086912,1991-09-10,Femenino,Mendoza,Godoy Cruz
120,Valentina,Fernández,valentina.fernandez7889@gmail.com,1124417719,1993-02-22,Femenino,Santa Cruz,Río Gallegos
121,Matías,Sosa,matias.sosa613@gmail.com,1160660554,2004-09-17,Masculino,Neuquén,Neuquén Capital
122,Catalina,Martínez,catalina.martinez4927@gmail.com,1159572269,1973-08-10,Femenino,Formosa,Formosa Capital
123,Mateo,García,mateo.garcia124@gmail.com,1182653893,1973-11-29,Masculino,Buenos Aires,Bahía Blanca
124,Leandro,Gutiérrez,leandro.gutierrez3049@gmail.com,1112685028,1985-04-28,Masculino,Buenos Aires,La Plata
125,Lucía,Rodríguez,lucia.rodriguez6587@gmail.com,1163985226,1956-06-14,Femenino,Misiones,Eldorado
126,Federico,Pérez,federico.perez256@gmail.com,1129329949,1972-01-12,Masculino,CABA,Belgrano
127,Catalina,Álvarez,catalina.alvarez5187@gmail.com,1161809930,1946-04-22,Femenino,CABA,Recoleta
128,Carlos,Romero,carlos.romero2054@gmail.com,1196249491,2002-03-27,Masculino,Chaco,Resistencia
129,Valentina,Sánchez,valentina.sanchez9542@gmail.com,1188516332,1945-03-31,Femenino,Santa Cruz,Río Gallegos
130,Laura,González,laura.gonzalez8651@gmail.com,1145988593,2004-05-04,Femenino,Catamarca,Catamarca Capital
131,Martina,Fernández,martina.fernandez7086@gmail.com,1180243967,1949-06-22,Femenino,Córdoba,Río Cuarto
132,José,García,jose.garcia542@gmail.com,1139565937,1961-08-01,Masculino,Córdoba,Río Cuarto
133,Santiago,Fernández,santiago.fernandez4342@gmail.com,1128123924,1946-07-08,Masculino,Chaco,Resistencia
134,Federico,Gómez,federico.gomez1866@gmail.com,1120920389,1966-01-22,Masculino,CABA,Belgrano
135,Elena,Álvarez,elena.alvarez8642@gmail.com,1156008822,1970-05-11,Femenino,Santa Fe,Rafaela
136,Diego,Alonso,diego.alonso173@gmail.com,1173532728,1951-01-12,Masculino,Entre Ríos,Paraná
137,Bautista,Fernández,bautista.fernandez3540@gmail.com,1198632630,1968-02-12,Masculino,CABA,Recoleta
138,Mateo,Rodríguez,mateo.rodriguez459@gmail.com,1135915168,1985-07-12,Masculino,CABA,Recoleta
139,Camila,Rodríguez,camila.rodriguez7208@gmail.com,1178431898,2001-12-13,Femenino,Córdoba,Río Cuarto
140,Lucía,Torres,lucia.torres5608@gmail.com,1130202628,1978-04-30,Femenino,Chaco,Resistencia
141,Matías,Pérez,matias.perez4461@gmail.com,1113945888,1975-10-31,Masculino,Buenos Aires,Berazategui
142,Ana,González,ana.gonzalez10000@gmail.com,1165873105,1973-12-30,Prefiere no contestar,Catamarca,Catamarca Capital
143,Mateo,Romero,mateo.romero3899@gmail.com,1177532877,1964-04-01,Masculino,Buenos Aires,San Isidro
144,Luis,González,luis.gonzalez2367@gmail.com,1146300163,1976-02-04,Masculino,Santa Fe,Santa Fe Capital
145,Martina,Alonso,martina.alonso6510@gmail.com,1190132886,1995-11-30,Femenino,Buenos Aires,San Isidro
146,Luis,Rodríguez,luis.rodriguez841@gmail.com,1158176287,2003-10-21,Masculino,Salta,Orán
147,Elena,Sosa,elena.sosa8176@gmail.com,1172974421,1947-07-03,Femenino,Salta,Salta Capital
148,María,Sánchez,maria.sanchez7285@gmail.com,1169636550,2000-01-06,Femenino,Buenos Aires,Quilmes
149,Luis,González,luis.gonzalez2553@gmail.com,1192013147,2006-01-07,Masculino,Chaco,Pres. Roque Sáenz Peña
150,Mateo,Martínez,mateo.martinez9996@gmail.com,1180264842,1951-02-09,Prefiere no contestar,Córdoba,Carlos Paz
151,Lucía,Gutiérrez,lucia.gutierrez7495@gmail.com,1175551184,1987-11-09,Femenino,Mendoza,Godoy Cruz
152,María,Gómez,maria.gomez8389@gmail.com,1171731434,1991-10-15,Femenino,Salta,Salta Capital
153,Santiago,Romero,santiago.romero2558@gmail.com,1184041477,1996-01-04,Masculino,Entre Ríos,Concordia
154,Catalina,Gutiérrez,catalina.gutierrez6616@gmail.com,1197475968,1943-05-23,Femenino,Santa Fe,Rosario
155,Federico,Alonso,federico.alonso587@gmail.com,1178120155,1984-06-30,Masculino,CABA,Belgrano
156,Laura,Fernández,laura.fernandez5429@gmail.com,1135298840,1958-11-06,Femenino,Catamarca,Catamarca Capital
157,Ana,González,ana.gonzalez7509@gmail.com,1133031946,2005-03-10,Femenino,Catamarca,Catamarca Capital
158,María,Gómez,maria.gomez8735@gmail.com,1173421567,1997-10-29,Femenino,Salta,Salta Capital
159,Catalina,Gutiérrez,catalina.gutierrez6193@gmail.com,1151132669,1954-02-05,Femenino,Entre Ríos,Paraná
160,Santiago,Pérez,santiago.perez3588@gmail.com,1126816060,1994-01-02,Masculino,Buenos Aires,Lanús
161,María,Torres,maria.torres8008@gmail.com,1127234812,1961-12-23,Femenino,Córdoba,Carlos Paz
162,Leandro,Sánchez,leandro.sanchez149@gmail.com,1177703199,1946-05-09,Masculino,Entre Ríos,Paraná
163,Catalina,Sosa,catalina.sosa9713@gmail.com,1120761345,1980-06-11,Femenino,Entre Ríos,Paraná
164,Leandro,Torres,leandro.torres1035@gmail.com,1155649377,1985-02-11,Masculino,CABA,Belgrano
165,Micaela,Álvarez,micaela.alvarez9276@gmail.com,1184447484,1981-02-14,Femenino,Santa Fe,Santa Fe Capital
166,Joaquín,Sosa,joaquin.sosa2219@gmail.com,1112753772,1955-02-11,Masculino,Mendoza,San Rafael
167,Laura,Martínez,laura.martinez6883@gmail.com,1162430928,1948-09-10,Femenino,Córdoba,Carlos Paz
168,Valentina,Sosa,valentina.sosa9655@gmail.com,1166478928,1972-04-27,Femenino,Santa Fe,Venado Tuerto
169,Agustina,Sosa,agustina.sosa6134@gmail.com,1169710877,2003-03-23,Femenino,Salta,Salta Capital
170,Nicolás,Torres,nicolas.torres4605@gmail.com,1120178656,1977-01-27,Masculino,Salta,Salta Capital
171,Carlos,Sánchez,carlos.sanchez1959@gmail.com,1162834789,1962-04-08,Masculino,Buenos Aires,Lanús
172,Leandro,Pérez,leandro.perez1734@gmail.com,1173426289,2001-07-09,Masculino,CABA,Belgrano
173,Camila,Fernández,camila.fernandez6078@gmail.com,1122053445,1946-09-05,Femenino,Buenos Aires,Quilmes
174,Valentina,Gómez,valentina.gomez8401@gmail.com,1192755652,1965-09-06,Femenino,Entre Ríos,Concordia
175,Lucía,Álvarez,lucia.alvarez5444@gmail.com,1160236347,1965-12-22,Femenino,Entre Ríos,Paraná
176,Santiago,Gutiérrez,santiago.gutierrez4525@gmail.com,1151425914,1953-12-08,Masculino,Buenos Aires,Quilmes
177,Matías,Alonso,matias.alonso4772@gmail.com,1129132463,1951-02-07,Masculino,Santa Fe,Venado Tuerto
178,Julieta,González,julieta.gonzalez4907@gmail.com,1172959030,1960-05-28,Femenino,San Juan,San Juan Capital
179,Diego,Fernández,diego.fernandez3336@gmail.com,1168352894,1951-08-05,Masculino,Entre Ríos,Paraná
180,Carlos,Gómez,carlos.gomez3426@gmail.com,1143105475,1963-06-23,Masculino,Salta,Salta Capital
181,Sofía,Romero,sofia.romero9263@gmail.com,1188962317,1945-08-29,Femenino,Santa Fe,Venado Tuerto
182,Carlos,Pérez,carlos.perez137@gmail.com,1134372068,1989-12-06,Masculino,Catamarca,Catamarca Capital
183,Bautista,Pérez,bautista.perez3977@gmail.com,1131295806,1952-08-22,Masculino,Santa Fe,Venado Tuerto
184,Bautista,Fernández,bautista.fernandez2435@gmail.com,1127664993,1994-11-27,Masculino,Buenos Aires,Berazategui
185,Victoria,Pérez,victoria.perez5917@gmail.com,1191510265,1998-08-13,Femenino,Misiones,Eldorado
186,Victoria,Álvarez,victoria.alvarez9179@gmail.com,1181748458,1971-06-01,Femenino,Santa Fe,Rosario
187,Laura,González,laura.gonzalez6818@gmail.com,1145220726,1978-10-04,Femenino,Córdoba,Carlos Paz
188,Felipe,Fernández,felipe.fernandez4531@gmail.com,1179526840,2002-09-01,Masculino,Mendoza,San Rafael
189,Nicolás,Martínez,nicolas.martinez773@gmail.com,1195691970,2006-03-21,Masculino,Buenos Aires,Mar del Plata
190,Joaquín,Rodríguez,joaquin.rodriguez4414@gmail.com,1168044549,2002-05-02,Masculino,Córdoba,Villa María
191,Federico,Pérez,federico.perez1077@gmail.com,1184118703,1973-11-15,Masculino,San Juan,San Juan Capital
192,Diego,García,diego.garcia64@gmail.com,1112413755,2006-03-18,Masculino,Santa Fe,Venado Tuerto
193,Lucía,Rodríguez,lucia.rodriguez5372@gmail.com,1181766435,2003-12-23,Femenino,Buenos Aires,San Isidro
194,Nicolás,García,nicolas.garcia3319@gmail.com,1138646052,1962-08-10,Masculino,CABA,Belgrano
195,Luis,García,luis.garcia4365@gmail.com,1197028817,1988-08-28,Masculino,Buenos Aires,San Isidro
196,Julieta,Sánchez,julieta.sanchez7077@gmail.com,1148613947,1976-12-05,Femenino,Santa Fe,Santa Fe Capital
197,Felipe,Sosa,felipe.sosa728@gmail.com,1141716784,1962-02-15,Masculino,Buenos Aires,Bahía Blanca
198,Agustina,Rodríguez,agustina.rodriguez5052@gmail.com,1188188098,1962-05-30,Femenino,Buenos Aires,Mar del Plata
199,Matías,Romero,matias.romero749@gmail.com,1198044960,1948-11-25,Masculino,Córdoba,Villa María
200,Agustina,Torres,agustina.torres6905@gmail.com,1129212992,2007-09-08,Femenino,Buenos Aires,Berazategui
201,Nicolás,García,nicolas.garcia4646@gmail.com,1158306703,1952-01-12,Masculino,Mendoza,Godoy Cruz
202,Diego,Alonso,diego.alonso1280@gmail.com,1179122398,1988-12-14,Masculino,Santiago del Estero,Sgo. del Estero Capital
203,Leandro,Álvarez,leandro.alvarez9948@gmail.com,1161009041,1959-10-18,Prefiere no contestar,Entre Ríos,Concordia
204,Agustina,Alonso,agustina.alonso9552@gmail.com,1154387222,1950-12-23,Femenino,Formosa,Formosa Capital
205,Matías,Martínez,matias.martinez460@gmail.com,1113044629,1996-08-25,Masculino,Chaco,Resistencia
206,Carlos,Torres,carlos.torres4168@gmail.com,1165351060,1995-10-25,Masculino,CABA,Recoleta
207,José,Martínez,jose.martinez2651@gmail.com,1149700794,1953-04-28,Masculino,Buenos Aires,La Plata
208,Santiago,Sánchez,santiago.sanchez20@gmail.com,1167524975,1983-01-02,Masculino,Mendoza,San Rafael
209,María,Sosa,maria.sosa6893@gmail.com,1173803380,1953-08-12,Femenino,Buenos Aires,Berazategui
210,Elena,Rodríguez,elena.rodriguez7991@gmail.com,1139639440,1953-01-14,Femenino,Misiones,Eldorado
211,Lucas,Sánchez,lucas.sanchez2634@gmail.com,1168762134,1980-07-01,Masculino,Córdoba,Villa María
212,Joaquín,Alonso,joaquin.alonso674@gmail.com,1168802644,1965-10-12,Masculino,Formosa,Formosa Capital
213,Bautista,García,bautista.garcia3444@gmail.com,1176424293,2002-11-02,Masculino,Santa Fe,Venado Tuerto
214,Florencia,González,florencia.gonzalez9546@gmail.com,1112782205,1953-11-07,Femenino,Santa Fe,Rosario
215,Lucía,Torres,lucia.torres5385@gmail.com,1151217536,1951-06-23,Femenino,Santa Cruz,Río Gallegos
216,Victoria,Fernández,victoria.fernandez7489@gmail.com,1193361146,1982-04-19,Femenino,San Juan,San Juan Capital
217,Carlos,López,carlos.lopez998@gmail.com,1136542464,1987-08-30,Masculino,Santa Cruz,Río Gallegos
218,Leandro,Sosa,leandro.sosa3652@gmail.com,1126613709,1976-09-08,Masculino,Misiones,Eldorado
219,Camila,Sánchez,camila.sanchez7624@gmail.com,1114718893,1978-02-22,Femenino,CABA,Belgrano
220,Joaquín,Martínez,joaquin.martinez78@gmail.com,1164206812,1993-04-23,Masculino,Córdoba,Villa María
221,Ana,Pérez,ana.perez7153@gmail.com,1199431140,1997-07-18,Femenino,Buenos Aires,La Plata
222,Micaela,Sánchez,micaela.sanchez8787@gmail.com,1154416594,1960-12-22,Femenino,Buenos Aires,San Isidro
223,Juan,Gómez,juan.gomez2870@gmail.com,1128634353,1966-09-18,Masculino,CABA,Recoleta
224,Felipe,González,felipe.gonzalez3675@gmail.com,1188797171,2003-06-22,Masculino,Santa Cruz,Río Gallegos
225,Valentina,López,valentina.lopez5777@gmail.com,1154484480,1941-12-09,Femenino,Buenos Aires,Berazategui
226,Martina,Sosa,martina.sosa6682@gmail.com,1148298902,1946-09-07,Femenino,Buenos Aires,San Isidro
227,Valentina,Sosa,valentina.sosa5960@gmail.com,1174084806,2003-09-07,Femenino,CABA,Recoleta
228,Carlos,Martínez,carlos.martinez637@gmail.com,1172950244,1987-02-21,Masculino,Jujuy,San Salvador de Jujuy
229,María,González,maria.gonzalez9414@gmail.com,1162393909,1959-11-09,Femenino,Río Negro,Bariloche
230,Diego,González,diego.gonzalez818@gmail.com,1145716837,1950-07-10,Masculino,Buenos Aires,Mar del Plata
231,José,Pérez,jose.perez1595@gmail.com,1142024004,1978-05-25,Masculino,Entre Ríos,Paraná
232,María,Sánchez,maria.sanchez8992@gmail.com,1119572676,1949-08-06,Femenino,Santa Fe,Rafaela
233,María,Romero,maria.romero7413@gmail.com,1129781159,1987-06-12,Femenino,Santa Cruz,Río Gallegos
234,Sofía,Martínez,sofia.martinez6897@gmail.com,1122964567,1988-02-29,Femenino,Buenos Aires,Bahía Blanca
235,Elena,González,elena.gonzalez8157@gmail.com,1166511328,1982-05-23,Femenino,Córdoba,Carlos Paz
236,Leandro,Romero,leandro.romero4789@gmail.com,1163447314,1951-07-31,Masculino,Catamarca,Catamarca Capital
237,Santiago,Sosa,santiago.sosa3368@gmail.com,1177814452,1946-08-20,Masculino,Jujuy,San Salvador de Jujuy
238,Diego,García,diego.garcia2777@gmail.com,1182770121,2006-06-22,Masculino,Santa Fe,Venado Tuerto
239,Nicolás,Martínez,nicolas.martinez3255@gmail.com,1178956012,1977-12-02,Masculino,Salta,Orán
240,Martina,Torres,martina.torres9565@gmail.com,1185036858,1954-12-14,Femenino,Mendoza,Godoy Cruz
